,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
105,False,/eGKiMZtey0kPJZCJsSbIXe7l9r.jpg,"[10749, 27, 18]",949701,th,Sang Krasue 2,"Friends since childhood, two lonely outcasts longing to be loved meet again. However, they must subdue a bloodthirsty demon residing in one of them.",211.984,/1nG0NyRIJgDVlKHqrsJFWHMnyKo.jpg,2023-03-30,Inhuman Kiss: The Last Breath,False,6.75,24
106,False,/ufy3U0Kf9fvbgm6DEhJS68RERys.jpg,[28],597891,en,Kate,A ruthless criminal operative has less than 24 hours to exact revenge on her enemies and in the process forms an unexpected bond with the daughter of one of her past victims.,219.717,/uJgdT1boTSP0dDIjdTgGleg71l4.jpg,2021-09-10,Kate,False,6.65,1448
107,False,/ehumsuIBbgAe1hg343oszCLrAfI.jpg,"[16, 10751, 14, 12]",1022796,en,Wish,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.",227.517,/vgJZSqKMXWDDx09iSIStGKfHMku.jpg,2023-11-13,Wish,False,6.411,1284
108,False,/kti9ufHhCKaOLjg2to4RKfrlkmh.jpg,"[16, 28]",1263421,ja,範馬刃牙VSケンガンアシュラ,"It's the ultimate showdown. The toughest fighters from ""Baki Hanma"" and ""Kengan Ashura"" clash in this unprecedented, hard-hitting martial arts crossover.",215.524,/etbHJxil0wHvYOCmibzFLsMcl2C.jpg,2024-06-05,Baki Hanma VS Kengan Ashura,False,7.839,177
109,False,/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg,"[28, 878, 12]",27205,en,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",200.225,/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,2010-07-15,Inception,False,8.368,35924
110,False,/msCHK5Kh1YbdZ0zPJ2nzPUhhSN9.jpg,"[14, 18, 9648]",141,en,Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",232.116,/fhQoQfejY1hUcwyuLgpBrYs6uFt.jpg,2001-01-19,Donnie Darko,False,7.78,12129
111,False,/xGhwfRxTsP9VhDSNsfHqBcRvWKY.jpg,[18],59053,it,La Riffa,"Struggling with a financial crisis, a good-looking widow decides to put herself up for grabs. However, going through with it becomes almost impossible with a new love and the legal system thrown into the mix.",320.344,/2Jc60w8ZemDMYqyJUStcQKy6syi.jpg,1991-11-15,The Raffle,False,6.656,151
112,False,/9n2tJBplPbgR2ca05hS5CKXwP2c.jpg,"[16, 10751, 12, 14, 35]",502356,en,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",228.199,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,2023-04-05,The Super Mario Bros. Movie,False,7.674,8566
113,False,/ufvqVabcLYc7gY6w9LgAJRcrEt8.jpg,"[18, 10749]",1181068,id,Ipar Adalah Maut,Nisa and Aris initially happy household shakes when Nisa's younger sibling comes to live with them.,215.717,/yBnfwE2aUXyZojWQNSYjBz62qzG.jpg,2024-06-13,In-law is Death,False,7.0,4
114,False,/k37Ccgu05Am1xxgN5GaW0HX9Kkl.jpg,"[27, 53]",1087388,en,Sting,"After raising an unnervingly talented spider in secret, 12-year-old Charlotte must face the truth about her pet and fight for her family's survival.",179.875,/zuSAZIG1PSrxFwPeAlGtg9LTwxo.jpg,2024-04-12,Sting,False,6.4,138
115,False,/yjGllQUm28R4X9xD9T5xMszirgw.jpg,"[80, 18]",235,en,Stand by Me,"After learning that a boy their age has been accidentally killed near their rural homes, four Oregon boys decide to go see the body. On the way, Gordie,  Vern, Chris and Teddy encounter a mean junk man and a marsh full of leeches, as they also learn more about one another and their very different home lives. Just a lark at first, the boys' adventure evolves into a defining event in their lives.",159.72,/vz0w9BSehcqjDcJOjRaCk7fgJe7.jpg,1986-08-08,Stand by Me,False,7.857,5680
116,False,/2Xe9lISpwXKhvKiHttbFfVRERQX.jpg,"[18, 36]",490132,en,Green Book,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",217.028,/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,2018-11-16,Green Book,False,8.242,11268
117,False,/criPrxkTggCra1jch49jsiSeXo1.jpg,"[878, 12, 28]",609681,en,The Marvels,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",195.875,/9GBhzXMFjgcZ3FdR9w3bUMMTps5.jpg,2023-11-08,The Marvels,False,6.127,2397
118,False,/a2n6bKD7qhCPCAEALgsAhWOAQcc.jpg,"[878, 53, 18]",49047,en,Gravity,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.",222.586,/kZ2nZw8D681aphje8NJi8EfbL1U.jpg,2013-10-03,Gravity,False,7.166,15016
119,False,/ySgY4jBvZ6qchrxKnBg4M8tZp8V.jpg,"[27, 53]",1111873,en,Abigail,"A group of criminals kidnaps a teenage ballet dancer, the daughter of a notorious gang leader, in order to obtain a ransom of $50 million, but over time, they discover that she is not just an ordinary girl. After the kidnappers begin to diminish, one by one, they discover, to their increasing horror, that they are locked inside with an unusual girl.",195.113,/5gKKSoD3iezjoL7YqZONjmyAiRA.jpg,2024-04-18,Abigail,False,6.841,755
120,False,/b93N6Mb08NhFhobB8KrR5GBaPP5.jpg,"[878, 27]",969686,en,4 Horsemen: Apocalypse,A small team of scientists must race against time to stop what seems to be a cascade of global disasters signaling the possible apocalypse and end of days.,189.663,/dt3mo4tArf2llDiht91cnvUtSgT.jpg,2022-04-29,4 Horsemen: Apocalypse,False,5.995,97
